money,brand,model,year,color,fuel_type,door,gear,motor,body_type,kilometers,currency
2150000,Ford,Focus III,2014,Plateado,Nafta,4,Manual,2,Sedain,57000,pesos
3800000,Honda,HR-V,2015,Plateado,Nafta,5,Automatic,1.8,SUV,92000,pesos
1550000,Volkswagen,Gol,2012,Negro,Nafta,5,Manual,1.4,Hatchback,102000,pesos
1595000,Renault,Clio,2014,Blanco,Nafta,3,Manual,1.2,Hatchback,85000,pesos
4700000,Jeep,Renegade,2017,Gris,Nafta,5,Manual,1.8,SUV,52000,pesos
2800000,Peugeot,2008,2016,Gris,Nafta,5,Manual,1.6,SUV,127000,pesos
42900,Hyundai,H1,2015,Gris,Diesel,4,Automatic,2.5,Monovolumen,8900,Dollar
7500000,Volkswagen,Vento,2017,Gris,Nafta,4,Manual,2,Sedain,54000,pesos
6300000,Honda,CR-V,2016,Negro,Nafta,5,Automatic,2.4,SUV,126000,pesos
3450000,Fiat,Palio,2016,Marrón,Nafta,5,Manual,1.6,Rural,59000,pesos
9500500,Ford,Ranger,2018,Gris,Diesel,4,Automatic,3.2,Pick-Up,70000,pesos
3890000,Chevrolet,Cruze,2014,Azul,Nafta,5,Automatic,1.8,Hatchback,31000,pesos
4200000,Peugeot,2008,2017,Blanco,Nafta,5,Manual,1.6,SUV,78000,pesos
6500000,Volkswagen,Amarok,2016,Negro,Diesel,4,Automatic,2,Pick-Up,129000,pesos
4289900,Peugeot,408,2018,Plateado,Diesel,4,Manual,1.6,Sedain,59000,pesos
12400000,Toyota,Hilux,2019,Gris,Diesel,4,Automatic,2.8,Pick-Up,52000,pesos
4189900,Peugeot,408,2018,Plateado,Diesel,4,Manual,1.6,Sedain,59000,pesos
3650000,Peugeot,408,2016,Gris,Diesel,4,Manual,1.6,Sedain,115000,pesos
6300000,Honda,Civic,2017,Gris,Nafta,3,Automatic,1.5,Hatchback,112000,pesos
6299000,Honda,Civic,2017,Gris,Nafta,3,Automatic,1.5,Hatchback,112000,pesos
16000,Volkswagen,Golf,2016,Plateado,Nafta,5,Automatic,1.4,Hatchback,126000,Dollar
2700000,Renault,Sandero,2018,Negro,Nafta,5,Manual,1.6,Hatchback,44000,pesos
1975000,Fiat,Uno,2016,Blanco,Nafta,5,Manual,1.4,Hatchback,87000,pesos
3650000,Peugeot,408,2016,Gris,Diesel,4,Manual,1.6,Sedain,114000,pesos
1890000,Renault,Sandero,2014,Rojo,Nafta,5,Manual,1.6,Hatchback,107000,pesos
6500000,Volkswagen,Amarok,2016,Negro,Diesel,4,Automatic,2,Pick-Up,128900,pesos
5200000,Volkswagen,Polo,2019,Gris,Nafta,5,Automatic,1.6,Hatchback,33444,pesos
4689900,Citroen,Jumper,2014,Blanco,Diesel,4,Manual,2.3,Van,139000,pesos
115700,BMW,Serie M,2017,Gris,Nafta,2,Automatic,3,Coupe,11000,Dollar
3000000,Renault,Logan,2018,Dorado,Nafta,4,Manual,1.6,Sedain,42000,pesos
2700500,Fiat,Palio,2017,Gris,Nafta,5,Manual,1.4,Hatchback,37000,pesos
2000500,Ford,Focus II,2009,Gris,Nafta,4,Manual,2,Sedain,160000,pesos
2000500,Renault,Clio,2014,Gris,Nafta,5,Manual,1.2,Hatchback,88000,pesos
2000500,Peugeot,207,2012,Gris,Diesel,5,Manual,1.4,Hatchback,110000,pesos
4429800,Chevrolet,Cruze II,2018,Plateado,Nafta,4,Manual,1.4,Sedain,63000,pesos
2450500,Volkswagen,Up!,2014,Plateado,Nafta,3,Manual,1,Hatchback,88000,pesos
5849000,Volkswagen,Amarok,2015,Gris,Diesel,4,Manual,2,Pick-Up,138468,pesos
1650000,Chevrolet,Aveo,2011,Blanco,Nafta,4,Manual,1.6,Sedain,153000,pesos
2450500,Volkswagen,Up!,2014,Plateado,Nafta,3,Manual,1,Hatchback,95000,pesos
5029000,Renault,Captur,2021,Plateado,Nafta,5,Manual,2,SUV,102000,pesos
5200000,Volkswagen,Polo,2019,Gris,Nafta,5,Automatic,1.6,Hatchback,33500,pesos
1850000,Chevrolet,Celta,2012,Rojo,Nafta,3,Manual,1.4,Hatchback,85000,pesos
2849900,Volkswagen,Gol Trend,2017,Azul,Nafta,3,Manual,1.6,Hatchback,45000,pesos
3489900,Volkswagen,Gol Trend,2017,Blanco,Nafta,5,Manual,1.6,Hatchback,39000,pesos
3350000,Ford,Ecosport,2016,Blanco,Nafta,5,Manual,1.6,SUV,108000,pesos
8489900,Volkswagen,Passat,2017,Blanco,Nafta,4,Automatic,2,Sedain,59000,pesos
3889900,Volkswagen,Polo,2018,Azul,Nafta,5,Automatic,1.6,Hatchback,79000,pesos
3650000,Chevrolet,Prisma,2018,Plateado,Nafta,4,Automatic,1.4,Sedain,38000,pesos
2589900,Peugeot,208,2014,Gris,Nafta,5,Manual,1.5,Hatchback,79000,pesos
3899900,Peugeot,2008,2017,Gris,Nafta,5,Manual,1.6,SUV,68000,pesos
3689900,Nissan,Versa,2019,Blanco,Nafta,4,Automatic,1.6,Sedain,50000,pesos
5100000,Volkswagen,Golf,2016,Gris,Nafta,5,Automatic,1.4,Hatchback,115000,pesos
5489900,Jeep,Renegade,2018,Verde,Nafta,5,Automatic,1.8,SUV,69000,pesos
4190000,Ford,Focus III,2016,Gris,Nafta,5,Manual,2,Hatchback,56000,pesos
8989900,Ford,Ranger,2020,Gris,Diesel,4,Automatic,3.2,Pick-Up,14000,pesos
6489900,Ford,Ranger,2015,Blanco,Diesel,4,Automatic,3.2,Pick-Up,169000,pesos
7289900,Ford,Mondeo,2018,Gris,Nafta,4,Automatic,2,Sedain,60000,pesos
2789900,Fiat,Fiorino,2016,Blanco,Nafta,3,Manual,1.4,Van,61000,pesos
2489900,Fiat,Qubo,2014,Rojo,Nafta/CNG,5,Manual,1.4,Monovolumen,118000,pesos
6700000,Audi,Q5,2013,Blanco,Nafta,5,Automatic,2,SUV,153000,pesos
3890000,Chevrolet,Cruze,2014,Gris,Nafta,4,Automatic,1.8,Sedain,31000,pesos
5780000,Baic,X55,2019,Negro,Nafta,5,Manual,1.5,SUV,38800,pesos
4400000,Toyota,Corolla,2016,Blanco,Nafta,4,Manual,1.8,Sedain,75000,pesos
52900,Toyota,Hilux,2022,Blanco,Diesel,4,Automatic,TOYOTA 2.8,Pick-Up,1000,Dollar
2158000,Chevrolet,Classic,2014,Plateado,Nafta/CNG,4,Manual,1.4,Sedain,63000,pesos
2200000,Renault,Kangoo,2013,Plateado,Nafta,3,Manual,1.6,Van,88000,pesos
2189900,Citroen,C4,2014,Blanco,Nafta,5,Manual,1.6,Hatchback,79000,pesos
3689900,Volkswagen,Polo,2017,Dorado,Nafta,4,Automatic,1.6,Hatchback,45000,pesos
17500,Mercedes-Benz,Clase A,2013,Negro,Nafta,5,Manual,1.6,Hatchback,115000,Dollar
3689900,Volkswagen,Polo,2017,Dorado,Nafta,5,Automatic,1.6,Hatchback,45000,pesos
4690000,Volkswagen,Vento,2016,Negro,Nafta/CNG,4,Automatic,2.5,Sedain,172000,pesos
8990000,Dodge,Journey,2018,Negro,Nafta,5,Manual,3.6,SUV,59900,pesos
4890000,Chevrolet,Tracker,2017,Gris,Nafta,5,Automatic,1.8,SUV,41000,pesos
3200000,Peugeot,Partner Patagónica,2015,Blanco,Nafta,4,Manual,1.6,Monovolumen,91000,pesos
2500000,Fiat,500,2012,Negro,Nafta,3,Manual,1.4,Hatchback,79000,pesos
2950000,Fiat,500,2013,Marrón,Nafta,3,Manual,1.4,Hatchback,81262,pesos
6290000,Honda,HR-V,2016,Violeta,Nafta,5,Automatic,1.8,SUV,60000,pesos
3900000,Renault,Sandero Stepway,2020,Blanco,Nafta,5,Automatic,1.6,Hatchback,62850,pesos
7880000,Hyundai,Santa Fe,2017,Gris,Nafta,5,Manual,2.4,SUV,90000,pesos
10900000,Volkswagen,Tiguan Allspace,2021,Gris,Nafta,5,Automatic,1.4,SUV,48711,pesos
1750000,Ford,Ka,2013,Gris,Nafta,3,Manual,1,Hatchback,70000,pesos
4250000,Renault,Duster,2017,Blanco,Nafta,5,Manual,1.6,SUV,60000,pesos
3520000,Peugeot,Partner,2016,Gris,Diesel,4,Manual,1.6,Van,74000,pesos
9450000,Volkswagen,Amarok,2019,Azul,Diesel,4,Automatic,2,Pick-Up,69000,pesos
3650000,Citroen,C-Elysee,2019,Azul,Diesel,4,Manual,1.6,Sedain,53000,pesos
4779900,Renault,Duster Oroch,2019,Blanco,Nafta,4,Manual,1.6,SUV,60000,pesos
3490000,Fiat,Argo,2019,Gris,Nafta,5,Manual,1.3,Hatchback,18000,pesos
3200000,Nissan,Sentra,2014,Negro,Nafta,4,Automatic,2,Sedain,96000,pesos
3490000,Fiat,Cronos,2019,Blanco,Nafta,4,Manual,1.8,Sedain,86000,pesos
2689900,Peugeot,408,2013,Gris,Diesel,4,Manual,1.6,Sedain,89000,pesos
3489900,Chevrolet,Spin,2016,Gris,Nafta/CNG,5,Manual,1.8,Monovolumen,98000,pesos
5389900,Nissan,Kicks,2018,Plateado,Nafta,5,Automatic,1.6,Hatchback,59000,pesos
3348000,Citroen,Aircross,2017,Gris,Nafta,5,Manual,1.5,Hatchback,61389,pesos
3402000,Chevrolet,Cruze,2014,Gris,Nafta,4,Manual,1.8,Sedain,61389,pesos
3990000,Volkswagen,Suran Cross,2016,Gris,Nafta,5,Manual,1.6,Monovolumen,39000,pesos
16500,Honda,CR-V,2010,Celeste,Nafta,5,Automatic,2.4,SUV,138000,Dollar
4589900,Volkswagen,Saveiro,2020,Blanco,Nafta,2,Manual,1.6,Pick-Up,35000,pesos
3539000,Honda,Fit,2013,Gris,Nafta,5,Manual,1.5,Hatchback,110000,pesos
3726000,Ford,Focus III,2017,Gris,Nafta,5,Manual,1.6,Hatchback,56100,pesos
3700000,Ford,Fiesta Kinetic Design,2017,Celeste,Nafta,5,Manual,1.6,Hatchback,43000,pesos
5900000,Fiat,Toro,2017,Rojo,Diesel,4,Automatic,2,Pick-Up,118000,pesos
1750000,Volkswagen,Gol Trend,2009,Plateado,Nafta,5,Manual,1.6,Hatchback,119000,pesos
16000,BMW,X5,2000,,Nafta,5,Manual,4.4,SUV,132000,Dollar
3769200,Ford,Ecosport,2015,Plateado,Nafta,5,Manual,1.6,SUV,51834,pesos
2930000,Toyota,Corolla,2011,Gris,Nafta,4,Automatic,1.8,Sedain,167000,pesos
60000,Toyota,Hilux,2022,Negro,Diesel,4,,2.8tdi 223cv,Pick-Up,4000,Dollar
1900000,Chevrolet,Celta,2012,Rojo,Nafta,3,Manual,1.4,Hatchback,101000,pesos
